model_type,opencv_dnn
avg_detection_time,0.026240818977355956
faces_per_second,38.108566690046224
p50_detection_time,0.025982141494750977
p90_detection_time,0.0264894962310791
p95_detection_time,0.02743387222290039
p99_detection_time,0.030027151107788086
total_images,1000
images_with_faces,1000
images_with_no_faces,0
total_faces_detected,1000
expected_faces,1000
detection_rate,1.0
true_accuracy,1.0
precision,1.0
false_positive_rate,0.0
avg_faces_per_image,1.0
one_face_images,1000
multi_face_images,0
zero_face_images,0
avg_confidence,0.9996281257867813
min_confidence,0.9806773066520691
max_confidence,0.9999974966049194
total_processing_time,26.552380561828613
