model_type,opencv_dnn
avg_detection_time,0.027212503147125245
faces_per_second,36.74781384841626
p50_detection_time,0.02659916877746582
p90_detection_time,0.028914690017700195
p95_detection_time,0.02958202362060547
p99_detection_time,0.03507637977600098
total_images,10000
images_with_faces,10000
images_with_no_faces,0
total_faces_detected,10000
expected_faces,10000
detection_rate,1.0
true_accuracy,1.0
precision,1.0
false_positive_rate,0.0
avg_faces_per_image,1.0
one_face_images,10000
multi_face_images,0
zero_face_images,0
avg_confidence,0.9996031113922595
min_confidence,0.9369837045669556
max_confidence,0.9999986886978149
total_processing_time,275.4112124443054
