name1,imagenum1,name2,imagenum2,label
Annette_Lu,1,Annette_Lu,3,1
Evander_Holyfield,2,Melanie_Griffith,1,0
Felipe_Fernandez,1,Malak_Habbak,1,0
Princess_Caroline,5,Princess_Caroline,2,1
Zoran_Djindjic,2,Zoran_Djindjic,3,1
Scott_Hoch,1,Brandon_Robinson,1,0
Zahir_Shah,1,Chyung_Dai-chul,1,0
Bob_Stoops,2,Bob_Stoops,1,1
Vicki_Zhao_Wei,2,Vicki_Zhao_Wei,1,1
Ralph_Goodale,1,Kamel_Morjane,1,0
Jo_Dee_Messina,1,Jo_Dee_Messina,2,1
Robert_F_Kennedy_Jr,1,Emma_Watson,3,0
Venus_Williams,15,Venus_Williams,3,1
Gillian_Anderson,2,Gillian_Anderson,1,1
Paul_Martin,8,Paul_Martin,5,1
Heizo_Takenaka,5,Heizo_Takenaka,4,1
Kofi_Annan,11,Kofi_Annan,28,1
Zeng_Qinghong,1,Cathryn_Crawford,1,0
Rita_Wilson,4,Rita_Wilson,3,1
Jose_Sarney,2,Randy_Ferbey,1,0
Kathy_Bates,1,Carla_Moreno,1,0
Andy_Graves,1,Julie_Goodenough,1,0
Eileen_Coparropa,3,Dick_Armey,1,0
Rob_Marshall,6,Janette_Husarova,1,0
Kelvin_Sampson,3,Kelvin_Sampson,2,1
John_Belushi,1,Alan_Zemaitis,1,0
Shirley_Jones,1,Jose_Alencar,1,0
Tom_Glavine,1,Vassilis_Xiros,1,0
Naomi_Watts,12,Naomi_Watts,10,1
Pedro_Malan,3,Pedro_Malan,1,1
Ricardo_Sanchez,6,Ricardo_Sanchez,2,1
Joerg_Haider,2,Joerg_Haider,1,1
Jose_Acasuso,1,Peter_Ueberroth,1,0
Martin_Sheen,1,Martin_Sheen,2,1
David_Trimble,5,David_Trimble,1,1
Mike_Krzyzewski,4,Juan_Antonio_Samaranch,1,0
Pilar_Montenegro,1,David_Donohue,1,0
Missy_Crider,1,Lindsay_Davenport,9,0
George_Papandreou,4,George_Papandreou,2,1
Mark_Cuban,2,Mark_Cuban,1,1
Penny_Dupuie,1,Harvey_Fierstein,1,0
Woody_Allen,5,Woody_Allen,4,1
Ashanti,3,Ashanti,4,1
Kelli_White,2,Kelli_White,1,1
Roman_Polanski,2,Roman_Polanski,5,1
Augustin_Calleri,1,William_Morrow,1,0
Lord_Hutton,1,Alicia_Witt,1,0
John_Robbins,1,Jeremy_Greenstock,17,0
El_Hadji_Diouf,1,Tammy_Helm,1,0
George_Maxwell_Richards,1,Ernie_Stewart,1,0
Marc_Grossman,1,Marc_Grossman,3,1
Guillermo_Monroy,1,Jim_Piper,1,0
Julia_Glass,1,Laura_Gobai,1,0
Bobby_Robson,1,Bobby_Robson,2,1
Megawati_Sukarnoputri,27,Megawati_Sukarnoputri,19,1
Greg_Rusedski,2,Greg_Rusedski,3,1
Guillermo_Ruiz_Polanco,1,Maura_Tierney,1,0
Simon_Cowell,1,Simon_Cowell,2,1
Yishan_Zhang,1,Javier_Zanetti,1,0
Latrell_Sprewell,1,Latrell_Sprewell,2,1
Constance_Marie,1,Constance_Marie,2,1
Ali_Naimi,4,Angela_Lansbury,1,0
Bob_Huggins,3,Bob_Huggins,4,1
Alexandra_Pelosi,1,Johnnie_Lynn,1,0
Joe_Gatti,1,Joe_Gatti,2,1
Frances_Fisher,2,Frances_Fisher,1,1
Elijah_Wood,1,John_Edwards,3,0
Josh_Childress,1,Nebojsa_Pavkovic,2,0
Alan_Greer,1,Chick_Hearn,2,0
Zhang_Ziyi,4,Zhang_Ziyi,2,1
Bill_Bradley,1,Colin_Phillips,1,0
Colin_Powell,234,Colin_Powell,90,1
John_Burkett,1,Alejandro_Lerner,1,0
Chuck_Hagel,1,Debra_Rose,1,0
Kjell_Magne_Bondevik,3,Kjell_Magne_Bondevik,2,1
Thomas_Gottschalk,1,Nino_DAngelo,1,0
Thomas_Rupprath,1,Thomas_Rupprath,3,1
Sally_Field,3,Sally_Field,2,1
Antony_Leung,3,Antony_Leung,2,1
Roy_Moore,6,Roy_Moore,3,1
Elizabeth_Regan,1,Omar_Khan_Sharif,1,0
George_Foreman,2,George_Foreman,1,1
Tara_Kirk,1,Kelly_Osbourne,1,0
Marsha_Thomason,1,Pedro_Mahecha,1,0
Hilmi_Ozkok,1,Hilmi_Ozkok,2,1
King_Abdullah_II,3,King_Abdullah_II,2,1
Johnson_Panjaitan,1,Johnson_Panjaitan,2,1
Larry_Hahn,1,Jim_Cantalupo,1,0
Eliott_Spitzer,1,Don_Carcieri,1,0
Venus_Williams,14,Venus_Williams,12,1
Susan_Sarandon,1,Susan_Sarandon,5,1
Andre_Lange,1,Tony_LaRussa,1,0
Dennis_Powell,2,Paula_Radcliffe,3,0
Igor_Trunov,1,David_Obey,1,0
Scott_McClellan,1,Scott_McClellan,2,1
Kobe_Bryant,3,Kobe_Bryant,2,1
Wen_Jiabao,5,Wen_Jiabao,4,1
John_Manley,4,John_Manley,6,1
Jay_Leno,1,Jay_Leno,3,1
Kimi_Raikkonen,2,Dwayne_Wade,1,0
Doug_Melvin,1,Doug_Melvin,2,1
Harry_Schmidt,1,Steve_Patterson,1,0
Wolfgang_Schuessel,3,Wolfgang_Schuessel,4,1
Wang_Yingfan,3,Wang_Yingfan,2,1
Peter_Harrison,2,Bill_Maher,1,0
Kurt_Busch,1,Kurt_Busch,2,1
John_Malkovich,3,John_Malkovich,1,1
Chen_Liang_Yu,1,Kelly_Santos,1,0
Cesar_Gaviria,1,Cesar_Gaviria,3,1
Kate_Hudson,4,Kate_Hudson,3,1
Vanessa_Incontrada,4,Vanessa_Incontrada,2,1
Debra_Brown,1,Donna_Morrissey,1,0
Doug_Duncan,1,Doug_Duncan,2,1
Tom_Hanks,6,Tom_Hanks,3,1
Ramiro_Goben_Reducindo,1,Mary_Blige,1,0
Hamzah_Haz,1,Hamzah_Haz,2,1
Roy_Williams,2,Roy_Williams,1,1
Minnie_Driver,1,Minnie_Driver,2,1
Monique_Garbrecht-Enfeldt,2,Monique_Garbrecht-Enfeldt,3,1
Daniela_Hantuchova,1,Daniela_Hantuchova,2,1
Manuela_Montebrun,1,Maxim_Afinogenov,1,0
Faye_Alibocus,1,Mark_Redman,1,0
Din_Samsudin,1,Gustavo_Franco,1,0
Patty_Schnyder,2,Patty_Schnyder,1,1
Judy_Dean,1,Jack_Straw,9,0
Marc_Bulger,1,Michael_Leavitt,1,0
Richard_Virenque,8,Richard_Virenque,5,1
Larry_Thompson,3,Larry_Thompson,2,1
John_McCain,4,John_McCain,2,1
Toshihiko_Fukui,3,Toshihiko_Fukui,1,1
Arianna_Huffington,1,Arianna_Huffington,3,1
David_McKiernan,1,Judd_Davies,1,0
Irwan_Fadzi_Idris,1,Brendan_Hansen,1,0
Robert_Fico,1,Angela_Mascia-Frye,1,0
Tamara_Brooks,1,Tamara_Brooks,2,1
Colin_Montgomerie,5,Colin_Montgomerie,2,1
Jim_Schwarz,1,Daniel_Comisso_Urdaneta,1,0
Adam_Scott,1,Adam_Scott,2,1
Victor_Hanescu,1,Alexander_Rumyantsev,1,0
Tassos_Papadopoulos,3,Tassos_Papadopoulos,1,1
Suzie_McConnell_Serio,1,Mary_Katherine_Smart,1,0
Jose_Viegas_Filho,2,Oracene_Williams,1,0
Frank_Schmoekel,1,Bob_Newhart,1,0
Bob_Crippen,1,Gary_Bald,1,0
Sally_Ride,1,Sally_Ride,2,1
Makiko_Tanaka,1,Ahmet_Demir,1,0
Jimmy_Gurule,1,Marco_Archer_Cardoso_Moreira,1,0
Lili_Taylor,2,Lili_Taylor,1,1
James_Caan,2,James_Caan,1,1
Michael_Ballack,3,Jennette_Bradley,1,0
David_Coulthard,1,David_Coulthard,2,1
Donald_Hays,1,Jim_Thome,1,0
Reggie_Sanders,1,George_Papandreou,1,0
Arnold_Palmer,3,Arnold_Palmer,1,1
Steve_Backley,1,Steve_Backley,2,1
Prince_Charles,1,Prince_Charles,3,1
David_Carradine,1,Ismail_Khan,1,0
Robert_De_Niro,1,Henk_Bekedam,1,0
Charles_Ingram,1,Dave_Williams,1,0
Gerard_Kleisterlee,1,Tom_Ridge,18,0
Vicente_Fox,30,Vicente_Fox,11,1
Yao_Ming,7,Yao_Ming,8,1
Hedayat_Amin_Arsala,1,Binyamin_Ben-Eliezer,5,0
Juan_Carlos_Ferrero,22,Juan_Carlos_Ferrero,12,1
Michael_Pfleger,1,Mark_Redman,1,0
Phil_Donahue,1,Tori_Amos,1,0
Zumrati_Juma,1,Joe_Darrell,1,0
Marcelo_Rios,1,Marcelo_Rios,2,1
Steve_Ballmer,3,Robert_Gordon_Card,1,0
Gordon_Campbell,2,Gordon_Campbell,1,1
David_Brown,1,Alicia_Hollowell,1,0
Sila_Calderon,3,Sila_Calderon,4,1
Evan_Marriott,1,Dawn_Staley,1,0
Martin_Verkerk,3,Jim_Letten,1,0
Ruth_Bader_Ginsburg,1,Eric_Lindros,1,0
Michael_Sheehan,1,Rudy_Tomjanovich,1,0
Albrecht_Mentz,1,Phil_Gramm,2,0
Alejandro_Fernandez,1,Eric_Bana,1,0
Dimitri_Perricos,1,William_McDonough,1,0
Diane_Green,1,Diane_Green,2,1
Andrew_Wetzler,1,Pedro_Malan,3,0
Timothy_Wirth,1,JP_Suarez,1,0
Princess_Anne,1,Princess_Anne,2,1
Shane_Warne,2,Shane_Warne,1,1
Branko_Crvenkovski,1,Luis_Berrondo,1,0
Edwin_Edwards,2,Edwin_Edwards,3,1
Joseph_Biden,1,Joseph_Biden,2,1
Michel_Therrien,1,Don_Hewitt,1,0
Kurt_Busch,2,Kurt_Busch,1,1
Carlo_Azeglio_Ciampi,1,Hank_McKinnell,1,0
Carlos_Manuel_Pruneda,3,Jennette_Bradley,1,0
Mahathir_Mohamad,7,Mahathir_Mohamad,9,1
Larry_Bowa,1,Larry_Bowa,2,1
Tariq_Aziz,2,Tariq_Aziz,6,1
Nan_Wang,3,Nan_Wang,2,1
Luther_Htu,1,Suzanne_Gaudet,1,0
Sam_Bith,2,Karen_Pereiras,1,0
Lars_Von_Trier,3,Ricky_Quick,1,0
Michael_Jordan,3,Michael_Jordan,4,1
James_Gandolfini,2,James_Gandolfini,1,1
Ricardo_Sanchez,3,Ricardo_Sanchez,4,1
Manuel_Poggiali,2,Manuel_Poggiali,1,1
Claire_Hentzen,1,Claire_Hentzen,2,1
Jack_Grubman,2,Jack_Grubman,1,1
Anne_Krueger,3,Eduardo_Fischer,1,0
Sarah_Jessica_Parker,6,Sarah_Jessica_Parker,4,1
Chuck_Bednarik,1,Paul_Wals,1,0
Butch_Davis,1,Butch_Davis,2,1
Charles_Moose,1,Charles_Moose,6,1
Alice_Fisher,1,Alice_Fisher,2,1
Peter_Harrison,1,Peter_Harrison,2,1
Claudio_Ranieri,1,Cecile_de_France,1,0
John_Banko,1,John_Banko,2,1
Reese_Witherspoon,1,Reese_Witherspoon,2,1
Jennifer_Aniston,20,Jennifer_Aniston,19,1
David_Wells,6,David_Wells,5,1
Pierre_Pettigrew,3,Pierre_Pettigrew,2,1
Carlos_Menem,3,Carlos_Menem,19,1
Saddam_Hussein,11,Saddam_Hussein,10,1
Wolfgang_Schuessel,2,Wolfgang_Schuessel,4,1
Aly_Wagner,1,Dave_Tucker,1,0
Eric_Christian_Olsen,1,Art_Cooper,1,0
Tom_Daschle,10,Tom_Daschle,2,1
Howard_Stern,1,Ted_Turner,1,0
Anneli_Jaatteenmaki,1,Anneli_Jaatteenmaki,2,1
Juan_Manuel_Marquez,2,Juan_Manuel_Marquez,3,1
Aicha_El_Ouafi,1,Aicha_El_Ouafi,2,1
Viola_Davis,1,Paul_Wals,1,0
Sharon_Osbourne,2,Sharon_Osbourne,1,1
Rita_Grande,1,Paul_Kariya,1,0
Howard_Dean,11,Howard_Dean,9,1
Bulent_Ecevit,4,Bulent_Ecevit,1,1
Phil_Johnson,1,Mohammed_Ashraf_Hafiz,1,0
Chan_Choi,1,Narendra_Modi,1,0
Prince_Charles,5,Prince_Charles,3,1
Michael_Winterbottom,3,Beatrice_Dalle,1,0
David_McKiernan,1,Nicholas_Byron,2,0
Lana_Clarkson,2,Peter_Greenspun,1,0
Jerry_Regier,3,Jerry_Regier,2,1
Kelli_White,2,Cabas,1,0
Ibrahim_Hilal,1,Seydou_Diarra,1,0
Hugo_Conte,1,Mukhtar_Alytnbayev,1,0
Jacqueline_Obradors,2,Jacqueline_Obradors,1,1
Kobe_Bryant,3,Kobe_Bryant,1,1
Goh_Kun,1,Goh_Kun,2,1
Donald_Pettit,2,Tommy_Shane_Steiner,1,0
Jennifer_McCoy,1,David_Duke,1,0
Jim_Nochols,1,Hal_McCoy,1,0
Binyamin_Ben-Eliezer,4,Binyamin_Ben-Eliezer,5,1
Charles_Bronson,3,Charles_Bronson,2,1
Gerard_Tronche,1,Elaine_Stritch,1,0
Billy_Tibbets,1,Jose_Genoino,1,0
Robert_Lee_Yates_Jr,1,Steve_Redgrave,1,0
Isaiah_Washington,1,Isaiah_Washington,2,1
Abdoulaye_Wade,2,Abdoulaye_Wade,3,1
John_Fox,1,Herb_Dhaliwal,1,0
Priscilla_Owen,2,Natasa_Micic,1,0
